country_code,country_name,region,income_level,capital_city,longitude,latitude,is_fragile_or_conflict,gdp_growth_pct,gdp_growth_pct_year,gdp_per_capita_usd,gdp_per_capita_usd_year,population,population_year,pop_growth_pct,pop_growth_pct_year,urban_pop_pct,urban_pop_pct_year,internet_users_pct,internet_users_pct_year,mobile_subs_per100,mobile_subs_per100_year,life_expectancy,life_expectancy_year,inflation_pct,inflation_pct_year,unemployment_pct,unemployment_pct_year,self_employed_pct,self_employed_pct_year,agriculture_pct_gdp,agriculture_pct_gdp_year,poverty_headcount_pct,poverty_headcount_pct_year,business_reg_rating,business_reg_rating_year
GNB,Guinea-Bissau,Sub-Saharan Africa ,Low income,Bissau,-15.1804,11.8037,True,5.81813762310792,2025.0,1123.76679992349,2025.0,2249515,2025,2.16429203622489,2025,46.6510315281292,2025,29.77739906,2025.0,,,64.254,2024,0.874929691038717,2025.0,2.673,2025.0,75.4685591470584,2025.0,40.6286009989156,2025.0,39.9,2025.0,2.5,2025.0
GNQ,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,Malabo,8.7741,3.7523,False,-5.84678505700693,2025.0,6615.25245207167,2025.0,1938431,2025,2.39717222444002,2025,71.5761028458697,2025,63.29930115,2025.0,,,63.906,2024,,,8.337,2025.0,27.4986769319012,2025.0,3.20678649748914,2025.0,8.8,2025.0,,
GRC,Greece,Europe & Central Asia,High income,Athens,23.7166,37.9792,False,2.07306882481713,2025.0,26948.0070432791,2025.0,10413962,2025,0.0848067613416544,2025,79.2246082848537,2025,86.26968886,2025.0,,,81.8390243902439,2024,2.48209745378857,2025.0,8.54,2025.0,30.4553173810687,2025.0,3.5703052168837,2025.0,0.6,2025.0,,
GRD,Grenada,Latin America & Caribbean ,Upper middle income,Saint George's,-61.7449,12.0653,False,4.41201,2025.0,12106.8790105068,2025.0,117303,2025,0.081872845816827,2025,36.6708064336827,2025,70.16159821,2025.0,,,75.367,2024,0.610311975893833,2025.0,,,,,2.53973352148124,2025.0,0.8,2024.0,3.0,2025.0
GRL,Greenland,Europe & Central Asia,High income,Nuuk,-51.7214,64.1836,False,,,,,56831,2025,-0.00879762816511268,2025,88.5740108655152,2025,69.4824617821988,2023.0,,,70.2734146341463,2024,,,,,,,,,,,,
GTM,Guatemala,Latin America & Caribbean ,Upper middle income,Guatemala City,-90.5328,14.6248,False,4.28003207921405,2025.0,6598.18032988711,2025.0,18687881,2025,1.5179036167086,2025,56.2972033013999,2025,60.22140121,2025.0,,,72.746,2024,1.48841591086169,2025.0,2.604,2025.0,39.08143495426,2025.0,9.55178298050142,2025.0,9.7,2025.0,,
GUM,Guam,East Asia & Pacific,High income,Agana,144.794,13.4443,False,,,,,168999,2025,0.725708104538761,2025,94.2197463433641,2025,80.5054655600831,2023.0,,,77.422,2024,,,5.569,2025.0,15.5195351741739,2025.0,,,,,,
GUY,Guyana,Latin America & Caribbean ,High income,Georgetown,-58.1548,6.80461,False,19.3360097091818,2025.0,32413.7930757518,2025.0,835986,2025,0.58773840166977,2025,26.4913876548981,2025,83.00080109,2025.0,,,70.319,2024,3.32982339132475,2025.0,11.962,2025.0,31.1144181388929,2025.0,7.73438252235822,2025.0,,,2.5,2025.0
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,,114.109,22.3964,False,3.48764886355949,2025.0,56983.0663059906,2025.0,7498900,2025,-0.33548590342358,2025,100.0,2025,95.75536971,2025.0,,,85.3926829268293,2024,1.43633540372673,2025.0,2.799,2025.0,7.69439288961689,2025.0,,,,,,
HND,Honduras,Latin America & Caribbean ,Lower middle income,Tegucigalpa,-87.4667,15.1333,False,3.75143102801252,2025.0,3598.21450440452,2025.0,11005850,2025,1.65037355718421,2025,59.2517075900659,2025,58.62269974,2025.0,,,73.044,2024,4.59657982325258,2025.0,4.92,2025.0,44.1055942864799,2025.0,13.3192833947532,2025.0,15.7,2025.0,2.5,2025.0
